§Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Intensity (Percent) - VB-2403-02D [Steady state]
0.3	0	0.3	0	0.3	0	0.3	0
0.3489	0	0.3489	0	0.3489	0	0.3489	0
0.4057	0	0.4057	0	0.4057	0	0.4057	0
0.4718	0	0.4718	0	0.4718	0	0.4718	0
0.5487	0	0.5487	0	0.5487	0	0.5487	0
0.6381	0	0.6381	0	0.6381	0	0.6381	0
0.742	0	0.742	0	0.742	0	0.742	0
0.8629	0	0.8629	0	0.8629	0	0.8629	0
1.003	0	1.003	0	1.003	0	1.003	0
1.167	0	1.167	0	1.167	0	1.167	0
1.357	0	1.357	0	1.357	0	1.357	0
1.578	0	1.578	0	1.578	0	1.578	0
1.835	0	1.835	0	1.835	0	1.835	0
2.134	0	2.134	0	2.134	0	2.134	0
2.482	0	2.482	0	2.482	0	2.482	0
2.886	0	2.886	0	2.886	0	2.886	0
3.357	0	3.357	0	3.357	0	3.357	0
3.903	0	3.903	0	3.903	0	3.903	0
4.539	0	4.539	0	4.539	0	4.539	0
5.279	0	5.279	0	5.279	0	5.279	0
6.139	0	6.139	0	6.139	0	6.139	0
7.139	0	7.139	0	7.139	0	7.139	0
8.302	0	8.302	0	8.302	0	8.302	0
9.655	0	9.655	0	9.655	0	9.655	0
11.23	0	11.23	0	11.23	0	11.23	0
13.06	0	13.06	0	13.06	0	13.06	0
15.18	0	15.18	0	15.18	0	15.18	0
17.66	0	17.66	0	17.66	0	17.66	0
20.53	0	20.53	0	20.53	0	20.53	0
23.88	0	23.88	0	23.88	0	23.88	0
27.77	0	27.77	0	27.77	0	27.77	0
32.3	0	32.3	0	32.3	0	32.3	0
37.56	0	37.56	0	37.56	0	37.56	0
43.68	0.07994	43.68	0	43.68	0	43.68	0
50.79	2.001	50.79	0.5776	50.79	1.007	50.79	0.6467
59.07	5.509	59.07	3.592	59.07	4.307	59.07	3.845
68.69	9.539	68.69	8.445	68.69	8.932	68.69	8.683
79.88	12.96	79.88	13.49	79.88	13.3	79.88	13.41
92.89	14.95	92.89	17.05	92.89	16.09	92.89	16.5
108	15.18	108	18.01	108	16.64	108	17.16
125.6	13.72	125.6	16.15	125.6	14.98	125.6	15.4
146.1	11.04	146.1	12.11	146.1	11.69	146.1	11.88
169.9	7.776	169.9	7.191	169.9	7.69	169.9	7.629
197.6	4.601	197.6	2.914	197.6	3.967	197.6	3.754
229.8	2.086	229.8	0.4581	229.8	1.31	229.8	1.104
267.2	0.5554	267.2	0	267.2	0.07953	267.2	0
310.7	0	310.7	0	310.7	0	310.7	0
361.3	0	361.3	0	361.3	0	361.3	0
420.2	0	420.2	0	420.2	0	420.2	0
488.7	0	488.7	0	488.7	0	488.7	0
568.3	0	568.3	0	568.3	0	568.3	0
660.9	0	660.9	0	660.9	0	660.9	0
768.5	0	768.5	0	768.5	0	768.5	0
893.8	0	893.8	0	893.8	0	893.8	0
1039	0	1039	0	1039	0	1039	0
1209	0	1209	0	1209	0	1209	0
1406	0	1406	0	1406	0	1406	0
1635	0	1635	0	1635	0	1635	0
1901	0	1901	0	1901	0	1901	0
2211	0	2211	0	2211	0	2211	0
2571	0	2571	0	2571	0	2571	0
2990	0	2990	0	2990	0	2990	0
3477	0	3477	0	3477	0	3477	0
4043	0	4043	0	4043	0	4043	0
4702	0	4702	0	4702	0	4702	0
5468	0	5468	0	5468	0	5468	0
6358	0	6358	0	6358	0	6358	0
7394	0	7394	0	7394	0	7394	0
8599	0	8599	0	8599	0	8599	0
10000	0	10000	0	10000	0	10000	0

Size (d.nm) - VB-2403-02D [Steady state]	Number (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Number (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Number (Percent) - VB-2403-02D [Steady state]	Size (d.nm) - VB-2403-02D [Steady state]	Number (Percent) - VB-2403-02D [Steady state]
0.3	0	0.3	0	0.3	0	0.3	0
0.3489	0	0.3489	0	0.3489	0	0.3489	0
0.4057	0	0.4057	0	0.4057	0	0.4057	0
0.4718	0	0.4718	0	0.4718	0	0.4718	0
0.5487	0	0.5487	0	0.5487	0	0.5487	0
0.6381	0	0.6381	0	0.6381	0	0.6381	0
0.742	0	0.742	0	0.742	0	0.742	0
0.8629	0	0.8629	0	0.8629	0	0.8629	0
1.003	0	1.003	0	1.003	0	1.003	0
1.167	0	1.167	0	1.167	0	1.167	0
1.357	0	1.357	0	1.357	0	1.357	0
1.578	0	1.578	0	1.578	0	1.578	0
1.835	0	1.835	0	1.835	0	1.835	0
2.134	0	2.134	0	2.134	0	2.134	0
2.482	0	2.482	0	2.482	0	2.482	0
2.886	0	2.886	0	2.886	0	2.886	0
3.357	0	3.357	0	3.357	0	3.357	0
3.903	0	3.903	0	3.903	0	3.903	0
4.539	0	4.539	0	4.539	0	4.539	0
5.279	0	5.279	0	5.279	0	5.279	0
6.139	0	6.139	0	6.139	0	6.139	0
7.139	0	7.139	0	7.139	0	7.139	0
8.302	0	8.302	0	8.302	0	8.302	0
9.655	0	9.655	0	9.655	0	9.655	0
11.23	0	11.23	0	11.23	0	11.23	0
13.06	0	13.06	0	13.06	0	13.06	0
15.18	0	15.18	0	15.18	0	15.18	0
17.66	0	17.66	0	17.66	0	17.66	0
20.53	0	20.53	0	20.53	0	20.53	0
23.88	0	23.88	0	23.88	0	23.88	0
27.77	0	27.77	0	27.77	0	27.77	0
32.3	0	32.3	0	32.3	0	32.3	0
37.56	0.5995	37.56	0	37.56	0	37.56	0
43.68	7.41	43.68	2.571	43.68	3.961	43.68	2.792
